Date	WSPD	WVHT	u10
2014-01-06 08:50:00	8.9	1.7	8.932304608797985
2014-01-06 09:50:00	9.0	1.5	9.032667581930546
2014-01-06 10:50:00	9.9	1.57	9.935934340123602
2014-01-06 11:50:00	9.4	1.66	9.434119474460793
2014-01-06 12:50:00	10.0	1.51	10.036297313256162
2014-01-06 13:50:00	11.1	1.61	11.140290017714339
2014-01-06 14:50:00	11.8	1.81	11.842830829642272
2014-01-06 15:50:00	12.4	2.15	12.44500866843764
2014-01-06 16:50:00	8.3	2.29	8.330126770002616
2014-01-06 17:50:00	8.1	2.52	8.129400823737491
2014-01-06 18:50:00	11.4	2.69	11.441378937112026
2014-01-06 19:50:00	9.3	2.24	9.333756501328232
2014-01-06 20:50:00	10.8	2.17	10.839201098316655
2014-01-06 21:50:00	12.1	2.44	12.143919749039956
2014-01-06 22:50:00	11.1	2.37	11.140290017714339
2014-01-06 23:50:00	11.4	2.48	11.441378937112026
2014-01-07 00:50:00	11.2	2.52	11.240652990846902
2014-01-07 01:50:00	12.6	2.2	12.645734614702766
2014-01-07 02:50:00	12.1	2.49	12.143919749039956
2014-01-07 03:50:00	11.0	2.15	11.039927044581779
2014-01-07 04:50:00	15.1	2.56	15.154808943016805
2014-01-07 05:50:00	15.1	3.1	15.154808943016805
2014-01-07 06:50:00	16.4	3.61	16.459527593740106
2014-01-07 07:50:00	14.8	3.92	14.85372002361912
2014-01-07 08:50:00	15.1	3.46	15.154808943016805
2014-01-07 09:50:00	16.6	3.58	16.660253540005233
2014-01-07 10:50:00	16.7	3.66	16.76061651313779
2014-01-07 11:50:00	16.5	3.6	16.559890566872667
2014-01-07 12:50:00	15.3	3.49	15.355534889281929
2014-01-07 13:50:00	14.2	2.93	14.25154218482375
2014-01-07 14:50:00	13.6	3.29	13.649364346028381
2014-01-07 15:50:00	13.4	3.15	13.44863839976326
2014-01-07 16:50:00	13.4	3.06	13.44863839976326
2014-01-07 17:50:00	12.3	3.11	12.344645695305081
2014-01-07 18:50:00	12.7	2.71	12.746097587835326
2014-01-07 19:50:00	12.4	2.65	12.44500866843764
2014-01-07 20:50:00	13.2	2.51	13.247912453498133
